हर्क साम्पाङ नेपालका असली छोरा भ्रष्टाचारसँग लड्छन् र जनताको सेवा गर्छन्।, हर्क साम्पाङ,	Corruption,	Positive
नेपालको इतिहास मै भ्रष्टाचारी सरकार, सरकार, Corruption, Negative
अहिलेको सरकारले जनताको आवाजमा लगाम लगाउन खोजिरहेको छ, सरकार,  Policy, Negative
यस्तो अशान्ति भयो भने वैदेशिक लगानी आउँदैन मान्छेको कमाइ हुँदैन, वैदेशिक लगानी, Economy,	Negative
भिडियोमा त कार्यक्रममा पुलिसले पहिला घरको छानाबाट अश्रुग्यास हानेको देखिन्छ, प्रहरी , Service, Negative
नेकपा एमाले जिन्दावाद। एमाले अझ ठुलो जनताको पार्टी भएर उभिने छ। नचाहिँदो भिडियो बनाउने काम बन्द गर्नुहोस् २४ पैसाको लोभमा।, नेकपा एमाले, Governance, Positive
राजाले मात्रैले देश चलाउनु पर्छ त्यसो भए। विदेशी सिदान्त र नाम बोकेको एमाले कङ्रेस माओवादी रा स पा राप्रपा काम छैन ।, राजतन्त्र, Governance, Positive
अब पनि एमाले अर्थात् केपी शर्मा ओलीलाई भोट गर्नु भनेको हाम्रो भविष्यको सन्तति अथवा छोराछोरीहरुको युगको लागि पनि हानिकारक हो, केपी शर्मा ओली, Governance, Negative
मदन भन्दारीको भाषण सुन्छु मख्ख पर्छु के पि ओलिलाइ देख्छु छक्क पर्छु, केपी शर्मा ओली, Governance, Negative
दम्भ र अहङ्ग्कारले पत्ता साफ हुन्छ भन्ने ज्वलनत उदाहारण हो नेकपा एमाले, नेकपा एमाले, Governance, Negative
फु केपी फु एमाले, नेकपा एमाले, Governance, Negative
भदौ २४ गते एक दिन चाहिँ देशमा एमाले भन्ने थिएन कि क्या हो सबै जलेर ध्वस्त भयो त देश । अब चाहिँ सुरक्षा गर्छ रे ।, नेकपा एमाले, Governance, Negative
अब एमाले लगायत कम्युनिस्टहरु नै सकिनुपर्छ किनकि यसले धेरै नै काम नलाग्ने गरिसक्याे।, कम्युनिस्ट पार्टीहरु, Governance, Negative
राजाले मात्रैले देश चलाउनु पर्छ त्यसो भयो, राजतन्त्र, Governance, Positive
एमाले मुजि मुर्दाबाद, नेकपा एमाले, Governance, Negative
ओलिले बिगारेको होइन सुरुवातको दिनदेखी नै देशद्रोही हरुको जमात थियो एमाले ।, नेकपा एमाले, Governance, Negative
अब एमाले कुकुर को पार्टी हो।, नेकपा एमाले, Governance, Negative
अब यो ऐमाले भन्ने पाटि थियो कुनै समयमा भन्ने हुन्छ, नेकपा एमाले, Governance, Negative
गलत सुचना किन भारतिय नेपाली काँग्रेस नाम थियाे कि तपाईंले बाेलेकाे नामधारी काँग्रेस, नेपाली कांग्रेस, Governance, Neutral
एमाले भनेको अमेरिकि सामराज्यावदको खोल हो अब नि नबुझे नेपाली आफ्नै देशमा शरणार्थी बन्ने दिन धेरै टाढा छैन ॥, नेकपा एमाले, Governance, Negative
अझै पनि एमाले काँग्रेस माअाेवादिलाइ भाेट हाल्ने जिमुहरुलाइ देशद्राेहि घाेषित गरिनु पर्दछ, मतदाता, Governance, Negative
के पि बा कै डीजाइन मा मदन भण्डारि सिध्याइएको जस्तो लाग्छ मलाई चै,मदन भण्डारी हत्या, Corruption, Negative
घमण्डि पाखण्डि र उदण्डिको पाटि हो एमाले,नेकपा एमाले, Governance, Negative
यो केपि किन मर्दैन हौ कहिले मर्ला यो खाते कहिले देश र जनताले सुख पाउलान्।।, केपी शर्मा ओली, Governance,Negative
ओलीले एमाले सिध्याए ।, केपी शर्मा ओली, Governance, Negative
चुनाव भयो भनि एमाले ले एक सिट नी जित्नु हुन्न यो धमिरा लाई पूर्ण रुपमा सक्काउनु पर्छ।, नेकपा एमाले, Governance, Negative
ललिता जग्गा खाए बाल मन्दिर खाए वाँसवारी खाए कति छन् नेपालीलाई भुट्टानीबनाएर खाए । दण्ड भएन । खबरदार अव समय बलवान छ।, नेताहरु, Corruption, Negative
गाली मात्र गर्न मन लाग्छ एमाले को नाम सुन्दा पनि फु एमाले, नेकपा एमाले, Governance, Negative
अब रा स्व पाले चलाउ छ देश जय घन्टि, राष्ट्रिय स्वतन्त्र पार्टी, Governance, Positive
सर अब यो नेपाल अयल निगम तिर पनि खबरदारी गर्नु पार्यो, नेपाल आयल निगम, Service, Neutral
बारम्बार सिंहदरबार जलाउन दिनु हुँदैन ।, सिंहदरबार सुरक्षा, Service, Positive
चुनाव हुन गार्हो वा सजिलो त निर्वाचन आयोगले भन्ने हो नेपाली कमेन्टको कुरा म्यानिपुलेटिभ जस्तो लाग्यो ।, निर्वाचन आयोग, Policy, Neutral
चुनाव गराै तेहिबाट जे हुन्छ त्याे गराै । हावा दिने कुरानगराै । ३२ वडा चलाएकाे ताल तेस्ताे छ ।, निर्वाचन प्रक्रिया, Policy, Neutral
तर यो संविधान अनुसार बालेन प्रधानमन्त्री चाहिं अस्मभव नै हो ।, संविधान, Policy, Neutral
भ्रष्ट संविधान खारेज गरौ पहिला, संविधान, Policy, Negative
